#time,accel_x,accel_y,accel_z
83.735836,0.000000,-74.020594,9326.594869
83.736162,-306.438199,-0.000000,9030.512492
83.736488,0.000000,-0.000000,9104.533087
83.736814,0.000000,74.020594,9326.594869
83.737140,-153.219100,296.082377,9104.533087
83.737466,0.000000,296.082377,9178.553681
83.737792,306.438199,-0.000000,9474.636058
83.738118,0.000000,148.041188,9696.697840
83.738444,-383.047749,74.020594,9326.594869
83.738770,-229.828649,-0.000000,9030.512492
83.739096,0.000000,-0.000000,9400.615463
83.739422,0.000000,-0.000000,9030.512492
83.739748,153.219100,-0.000000,9030.512492
83.740074,0.000000,-0.000000,9400.615463
83.740400,153.219100,-222.061783,9400.615463
83.740726,153.219100,-74.020594,8808.450710
83.741052,76.609550,-148.041188,9104.533087
83.741378,-153.219100,-0.000000,9326.594869
83.741704,76.609550,370.102971,9030.512492
83.742030,383.047749,370.102971,8882.471304
83.742356,0.000000,592.164754,8956.491898
83.742682,153.219100,-0.000000,9104.533087
83.743008,0.000000,-370.102971,8660.409521
83.743334,0.000000,-296.082377,9400.615463
83.743660,0.000000,-148.041188,9400.615463
83.743986,229.828649,-370.102971,9622.677246
83.744312,-306.438199,-0.000000,9252.574275
83.744638,229.828649,-222.061783,9252.574275
83.744964,0.000000,-0.000000,9696.697840
83.745290,153.219100,-0.000000,9474.636058
83.745616,536.266849,370.102971,8660.409521
83.745942,766.095498,296.082377,9030.512492
83.746268,383.047749,148.041188,9252.574275
83.746594,536.266849,148.041188,8882.471304
83.746920,1378.971896,222.061783,9104.533087
83.747246,995.924147,-0.000000,8882.471304
83.747572,0.000000,222.061783,9474.636058
83.747898,689.485948,-0.000000,9400.615463
83.748224,612.876398,-0.000000,8734.430116
83.748550,536.266849,-0.000000,9400.615463
83.748876,153.219100,-74.020594,9400.615463
83.749202,383.047749,-74.020594,8808.450710
83.749528,383.047749,-74.020594,9326.594869
83.749854,153.219100,-148.041188,9104.533087
83.750180,229.828649,-0.000000,9104.533087
83.750506,76.609550,222.061783,9252.574275
83.750832,383.047749,-222.061783,9178.553681
83.751158,383.047749,-0.000000,9030.512492
83.751484,842.705048,-444.123565,9030.512492
83.751810,306.438199,-0.000000,9252.574275
83.752136,842.705048,-0.000000,9030.512492
83.752463,306.438199,296.082377,8956.491898
83.752789,459.657299,296.082377,8808.450710
83.753115,459.657299,296.082377,8956.491898
83.753441,76.609550,296.082377,9252.574275
83.753767,383.047749,370.102971,9178.553681
83.754093,0.000000,-0.000000,9178.553681
83.754419,0.000000,-0.000000,9474.636058
83.754745,-229.828649,-0.000000,9400.615463
83.755071,0.000000,-74.020594,9252.574275
83.755397,0.000000,-0.000000,9548.656652
83.755723,229.828649,-0.000000,9178.553681
83.756049,306.438199,148.041188,9252.574275
83.756375,0.000000,148.041188,8882.471304
83.756701,0.000000,222.061783,9030.512492
83.757027,229.828649,-0.000000,9400.615463
83.757353,0.000000,296.082377,9104.533087
83.757679,0.000000,-0.000000,8882.471304
83.758005,229.828649,370.102971,9326.594869
83.758331,153.219100,-0.000000,9252.574275
83.758657,306.438199,-74.020594,8882.471304
83.758983,-229.828649,-0.000000,9548.656652
83.759309,229.828649,-148.041188,9178.553681
83.759635,76.609550,-74.020594,9474.636058
83.759961,306.438199,-0.000000,9030.512492
83.760287,612.876398,-0.000000,9474.636058
83.760613,383.047749,-0.000000,9400.615463
83.760939,459.657299,-0.000000,8956.491898
83.761265,0.000000,-0.000000,9326.594869
83.761591,383.047749,-74.020594,9548.656652
83.761917,459.657299,444.123565,8956.491898
83.762243,919.314598,518.144159,9030.512492
83.762569,536.266849,-0.000000,9178.553681
83.762895,689.485948,-0.000000,9178.553681
83.763221,689.485948,-0.000000,9104.533087
83.763547,919.314598,592.164754,9178.553681
83.763873,919.314598,-0.000000,9178.553681
83.764199,536.266849,-222.061783,9104.533087
83.764525,229.828649,-518.144159,9252.574275
83.764851,459.657299,-592.164754,9474.636058
83.765177,612.876398,-666.185348,9400.615463
83.765503,689.485948,-740.205942,9770.718434
83.765829,612.876398,-814.226536,9178.553681
83.766155,383.047749,-0.000000,9326.594869
83.766481,766.095498,518.144159,9326.594869
83.766807,1378.971896,740.205942,9178.553681
83.767133,1532.190996,592.164754,8438.347739
83.767459,1991.848295,888.247130,8438.347739
83.767785,1991.848295,740.205942,8438.347739
83.768111,1838.629195,888.247130,8734.430116
83.768437,1455.581446,444.123565,8956.491898
83.768763,919.314598,-0.000000,8956.491898
83.769090,612.876398,-370.102971,8882.471304
